"id";"api_id";"category";"description";"external_id";"fuel_type";"license_id";"model";"operator";"provider"
1936061;1355904;"";"1626 / W-85524C";"WME4513341K833817";"PETROL";"";"";"car2go";"car2go"
1936062;2575911;"";"Alvin";"DriveNow_13229511";"PETROL";"YB65GFG";"BMW 1er";"DriveNow";"driveNow"
1936063;2300972;"";"2133 / W-84630C";"WME4533421K174046";"PETROL";"";"";"car2go";"car2go"
1936064;2740999;"";"Pamelina";"DriveNow_13524897";"PETROL";"M-DX6683";"MINI 5-Tuerer";"DriveNow";"driveNow"
1936065;1355888;"";"S-GO2646";"WME4513901K820273";"ELECTRICITY";"";"";"car2go";"car2go"
1936066;1224100;"";"Hanni";"DriveNow_13423724";"DIESEL";"M-DX8266";"MINI Cabrio";"DriveNow";"driveNow"
1936067;1760028;"";"Heidi";"DriveNow_13478134";"DIESEL";"M-DX8966";"MINI Cabrio";"DriveNow";"driveNow"
1936068;1356909;"";"B-GO3770";"WME4533421K035933";"PETROL";"";"";"car2go";"car2go"
1936069;2575395;"";"Abdulrahman";"DriveNow_13229525";"PETROL";"YB65FNR";"BMW 1er";"DriveNow";"driveNow"
1936070;306121;"";"Adolphus";"DriveNow_13187692";"DIESEL";"M-DX9735";"BMW 1er";"DriveNow";"driveNow"
1936071;2575658;"";"Michal";"DriveNow_13205555";"PETROL";"YF65JNX";"MINI 5-Tuerer";"DriveNow";"driveNow"
1936072;2576474;"";"Pam";"DriveNow_13423396";"PETROL";"M-DX8613";"MINI 3-Tuerer";"DriveNow";"driveNow"
1936073;2806397;"";"Roland";"DriveNow_13499155";"PETROL";"CKO069";"MINI 5-Tuerer";"DriveNow";"driveNow"
1936074;1359469;"";"1447 / W-85324C";"WME4513341K831445";"PETROL";"";"";"car2go";"car2go"
1936075;1355953;"";"B-GO5443";"WDD2462011J283811";"PETROL";"";"";"car2go";"car2go"
1936076;1358280;"";"B-GO5622";"WDC1569121J302523";"PETROL";"";"";"car2go";"car2go"
1936077;1356029;"";"S-GO2480";"WME4513901K690733";"ELECTRICITY";"";"";"car2go";"car2go"
1936078;1357966;"";"B-GO5684";"WDD1760431J524079";"PETROL";"";"";"car2go";"car2go"
1936079;1127987;"";"Joshua";"DriveNow_13398137";"DIESEL";"M-DX6948";"BMW 2er Cabrio";"DriveNow";"driveNow"
1936080;1357449;"";"B-GO5580";"WDD1760431J521467";"PETROL";"";"";"car2go";"car2go"
1936081;677894;"";"Juliette";"DriveNow_13381882";"DIESEL";"M-DX6139";"BMW 1er";"DriveNow";"driveNow"
1936082;2575860;"";"Matthew";"DriveNow_13205483";"PETROL";"YF65HZY";"MINI 5-Tuerer";"DriveNow";"driveNow"
1936083;2576368;"";"Signe";"DriveNow_13152841";"ELECTRICITY";"AV74961";"BMW i3";"DriveNow";"driveNow"
1936084;1268689;"";"Chaplin";"DriveNow_13423745";"DIESEL";"M-DX8356";"MINI Cabrio";"DriveNow";"driveNow"
1936085;1825348;"";"B-GO5723";"WDC1569431J293115";"PETROL";"";"";"car2go";"car2go"
1936086;1380145;"";"Brandon";"DriveNow_13429542";"DIESEL";"M-DX8467";"MINI Cabrio";"DriveNow";"driveNow"
1936087;2575118;"";"Olivier";"DriveNow_13205498";"PETROL";"YF65KHV";"MINI 5-Tuerer";"DriveNow";"driveNow"
1936088;2576576;"";"Dawn";"DriveNow_13413304";"PETROL";"1PJZ378";"BMW 1er";"DriveNow";"driveNow"
1936089;2980946;"";"Jules";"DriveNow_13571788";"DIESEL";"M-DX6991";"BMW 2er Active Tourer";"DriveNow";"driveNow"
1936090;2575665;"";"Balu";"DriveNow_13119900";"ELECTRICITY";"M-EV5106";"BMW i3";"DriveNow";"driveNow"
1936091;2084268;"";"Philip";"DriveNow_13487784";"DIESEL";"M-DX5655";"BMW 1er";"DriveNow";"driveNow"
1936092;930741;"";"Robbin";"DriveNow_13397827";"DIESEL";"M-DX6293";"BMW 2er Cabrio";"DriveNow";"driveNow"
1936093;2575022;"";"Violette";"DriveNow_13404150";"PETROL";"M-DX8561";"MINI 3-Tuerer";"DriveNow";"driveNow"
1936094;1356807;"";"S-GO2186";"WME4513901K650940";"ELECTRICITY";"";"";"car2go";"car2go"
1936095;1385143;"";"B-GO3856";"WME4533421K038639";"PETROL";"";"";"car2go";"car2go"
1936096;1244227;"";"Andrea";"DriveNow_13398061";"DIESEL";"M-DX8358";"BMW 2er Cabrio";"DriveNow";"driveNow"
