"id";"api_id";"description";"latitude";"longitude";"external_id";"operator";"provider"
263;38798;"";"53.581334";"9.986575";"SNH-DE_20149_Jungfrauenthal_8_1e05c2bd";"Vattenfall";"vattenfall"
264;32652;"Besucherparkplatz";"53.60687";"10.02472";"X6";"Vattenfall";"vattenfall"
265;32696;"Besucherparkplatz";"53.60687";"10.02472";"X12";"Vattenfall";"vattenfall"
266;34799;"";"53.590221";"9.985175";"SNH-DE_20249_Kümmellstrasse_5_e18f3283";"Vattenfall";"vattenfall"
267;34775;"";"53.594247";"9.995713";"SNH-DE_22299_Bebelallee_1_87b6dbba";"Vattenfall";"vattenfall"
268;34788;"";"53.602574";"10.040627";"SNH-DE_22307_Fuhlsbüttler Strasse_387_84639252";"Vattenfall";"vattenfall"
269;34844;"";"53.603208";"10.069108";"SNH-DE_22177_Moosrosenweg_18_6111ab0c";"Vattenfall";"vattenfall"
270;34834;"";"53.604371";"10.026856";"SNH-DE_22297_Überseering_10_a3ede0e5";"Vattenfall";"vattenfall"
271;34829;"";"53.621418";"10.030869";"SNH-DE_22337_Im Grünen Grunde_1C_fa46e7bc";"Vattenfall";"vattenfall"
272;34815;"";"53.651655";"10.094765";"SNH-DE_22393_Stormarnplatz_1_14ed17fc";"Vattenfall";"vattenfall"
273;34819;"";"53.589499";"10.015993";"SNH-DE_22303_Borgweg_10_8e2c0d8b";"Vattenfall";"vattenfall"
274;34852;"";"53.553948";"10.063607";"SNH-DE_20537_Hammer Landstraße_204_7f2c5200";"Vattenfall";"vattenfall"
275;34849;"";"53.628011";"10.140354";"SNH-DE_22159_Berner Heerweg_372_796e688c";"Vattenfall";"vattenfall"
276;34807;"";"53.655534";"10.092595";"SNH-DE_22391_Heegbarg_31_8bd5deb0";"Vattenfall";"vattenfall"
277;34846;"";"53.651913";"10.162925";"SNH-DE_22359_Kattjahren_4_a44a74fb";"Vattenfall";"vattenfall"
278;34821;"";"53.601705";"10.112279";"SNH-DE_22159_Ivo-Hauptmann-Ring_9_60269a22";"Vattenfall";"vattenfall"
279;38796;"";"53.489639";"10.157795";"SNH-DE_21035_Walter Rudolphi Weg_5_c093a817";"Vattenfall";"vattenfall"
280;34781;"";"53.588192";"10.12484";"SNH-DE_22045_Stein-Hardenberg-Straße_85_b44911c7";"Vattenfall";"vattenfall"
281;34827;"";"53.567386";"10.059232";"SNH-DE_22089_Pappelallee_41_cbc4df32";"Vattenfall";"vattenfall"
282;34802;"";"53.571903";"10.02813";"SNH-DE_22083_Hamburger Straße_27_9df3f561";"Vattenfall";"vattenfall"
283;34833;"";"53.55205";"10.046934";"SNH-DE_20537_Eiffestraße_450_692f79e8";"Vattenfall";"vattenfall"
284;34784;"";"53.520476";"10.013471";"SNH-DE_20539_Harburger Chaussee_17_198062c3";"Vattenfall";"vattenfall"
285;34836;"";"53.572171";"10.064295";"SNH-DE_22014_Wandsbeker Königstrasse_11_472b7573";"Vattenfall";"vattenfall"
286;34809;"";"53.568608";"10.024193";"SNH-DE_22087_Mundsburger Damm_47_7291f2c5";"Vattenfall";"vattenfall"
287;34828;"";"53.554492";"10.007712";"SNH-DE_20099_Hachmannplatz_1_8689b40d";"Vattenfall";"vattenfall"
288;34792;"";"53.561661";"10.016461";"SNH-DE_22087_Schweimlerstraße_1_1dda45ed";"Vattenfall";"vattenfall"
289;34824;"";"53.549381";"10.004708";"SNH-DE_20095_Altstädter Straße_2_5573ce1e";"Vattenfall";"vattenfall"
290;34854;"";"53.55555";"10.017166";"SNH-DE_20099_Steindamm_94_302a3df0";"Vattenfall";"vattenfall"
291;34823;"";"53.558132";"10.005663";"SNH-DE_20099_An der Alster_65_c417be8b";"Vattenfall";"vattenfall"
292;34814;"";"53.552621";"10.001067";"SNH-DE_20095_Gertrudenkirchhof_10_49f0eda6";"Vattenfall";"vattenfall"
293;34808;"";"53.56778";"10.016236";"SNH-DE_22087_Eduard-Rhein-Ufer_1_07a2f042";"Vattenfall";"vattenfall"
294;34805;"";"53.543508";"9.997992";"SNH-DE_20457_Osakaallee_6_f318881d";"Vattenfall";"vattenfall"
295;34786;"";"53.552208";"10.01809";"SNH-DE_22097_Kurt-Schuhmacher-Alle_10_897b22fe";"Vattenfall";"vattenfall"
296;32721;"";"53.5404753";"9.9971384";"B22";"Vattenfall";"vattenfall"
297;34790;"";"53.556978";"9.973255";"SNH-DE_22357_Feldstrasse_51_841cb427";"Vattenfall";"vattenfall"
298;34787;"";"53.548933";"9.993134";"SNH-DE_20095_Große Bäckerstraße_8_fe9ab2ae";"Vattenfall";"vattenfall"
299;34842;"";"53.556103";"9.989969";"SNH-DE_20354_Büschstraße_12_a83be62e";"Vattenfall";"vattenfall"
300;32758;"";"53.5404753";"9.9971384";"B26";"Vattenfall";"vattenfall"
301;34797;"";"53.559507";"9.996083";"SNH-DE_20354_Alsterterrasse_20_56dae23a";"Vattenfall";"vattenfall"
302;34840;"";"53.552225";"9.997597";"SNH-DE_20095_Alstertor_13_6badf172";"Vattenfall";"vattenfall"
303;34818;"";"53.572815";"9.990075";"SNH-DE_20149_Hallerstraße_85_77d23e63";"Vattenfall";"vattenfall"
304;34803;"";"53.552021";"9.996826";"SNH-DE_20095_Hermannstraße_13_250234db";"Vattenfall";"vattenfall"
305;34778;"";"53.564804";"9.96358";"SNH-DE_20357_Altonaer Str._61_be1d596e";"Vattenfall";"vattenfall"
306;34777;"";"53.568175";"9.981787";"SNH-DE_20146_Bornstraße_18_bb776066";"Vattenfall";"vattenfall"
307;34820;"";"53.5753";"9.977718";"SNH-DE_20144_Grindelberg_66_2530e194";"Vattenfall";"vattenfall"
308;34782;"";"53.57236";"9.966";"SNH-DE_20259_Hohe Weide_17_2c897fdd";"Vattenfall";"vattenfall"
309;34841;"";"53.561321";"9.948481";"SNH-DE_22765_Holstenplatz_14_3565a857";"Vattenfall";"vattenfall"
310;34785;"";"53.575248";"9.951946";"SNH-DE_20259_Henriettenstraße_77_5aa0d5a4";"Vattenfall";"vattenfall"
